N,area_wide,relerr_wide,area_narrow,relerr_narrow
81600,0.952941,0.00891883,0.945404,0.000939343
82100,0.952071,0.00799716,0.945402,0.000936736
82600,0.952736,0.00870169,0.945445,0.000982226
83100,0.951769,0.00767775,0.945367,0.000899763
83600,0.951998,0.00791984,0.945514,0.00105574
84100,0.952759,0.00872555,0.945184,0.000706306
84600,0.95234,0.00828279,0.944991,0.00050179
85100,0.951716,0.00762129,0.944727,0.000221919
85600,0.951414,0.00730147,0.944655,0.000146305
86100,0.952056,0.00798139,0.944744,0.000240649
86600,0.951028,0.00689297,0.944688,0.000181083
87100,0.951148,0.00702043,0.944647,0.000137395
87600,0.951267,0.00714644,0.944463,5.68709e-05
88100,0.951691,0.00759549,0.944594,8.15498e-05
88600,0.951603,0.00750174,0.94454,2.42259e-05
89100,0.951212,0.00708821,0.944683,0.000175491
89600,0.950424,0.00625391,0.944852,0.000354609
90100,0.950644,0.00648643,0.944895,0.000399543
90600,0.95106,0.00692673,0.945102,0.00061927
91100,0.950878,0.00673463,0.945019,0.000531514
91600,0.950993,0.00685669,0.945197,0.000719225
92100,0.951303,0.00718435,0.945426,0.000962377
92600,0.950637,0.00647946,0.945572,0.00111715
93100,0.951042,0.00690798,0.945422,0.00095753
93600,0.949712,0.00549948,0.945286,0.000813754
94100,0.94983,0.00562487,0.945337,0.000868403
94600,0.950613,0.00645401,0.94527,0.000796566
95100,0.950442,0.00627247,0.945386,0.000920311
95600,0.949801,0.00559447,0.945228,0.00075205
96100,0.949917,0.00571675,0.945434,0.000971139
96600,0.949938,0.00573913,0.945135,0.000653656
97100,0.950144,0.00595754,0.945121,0.000639293
97600,0.949887,0.00568556,0.945044,0.000557279
98100,0.950734,0.00658194,0.94512,0.000637987
98600,0.951207,0.00708268,0.944992,0.000503122
99100,0.951403,0.0072899,0.945156,0.000676771
99600,0.950783,0.00663402,0.945306,0.000835389
