type,n,algo,threshold,time
random,3100,hybrid,5,1045.8
random,3100,hybrid,10,849.8
random,3100,hybrid,15,724.6
random,3100,hybrid,20,708
random,3100,hybrid,30,641.2
random,3100,hybrid,50,629
random,3200,standard,0,1645.6
random,3200,hybrid,5,1054.8
random,3200,hybrid,10,870.4
random,3200,hybrid,15,733.8
random,3200,hybrid,20,746.6
random,3200,hybrid,30,662.4
random,3200,hybrid,50,658.2
random,3300,standard,0,1737.8
random,3300,hybrid,5,1086.6
random,3300,hybrid,10,906.6
random,3300,hybrid,15,769.6
random,3300,hybrid,20,772.8
random,3300,hybrid,30,683.6
random,3300,hybrid,50,689.8
random,3400,standard,0,1755.4
random,3400,hybrid,5,1119.2
random,3400,hybrid,10,910.8
random,3400,hybrid,15,779.6
random,3400,hybrid,20,775
random,3400,hybrid,30,704.6
random,3400,hybrid,50,708.4
random,3500,standard,0,1814.2
random,3500,hybrid,5,1145
random,3500,hybrid,10,932
random,3500,hybrid,15,822
random,3500,hybrid,20,825.6
random,3500,hybrid,30,744.2
random,3500,hybrid,50,1806.8
random,3600,standard,0,3296.2
random,3600,hybrid,5,1161.2
random,3600,hybrid,10,975
random,3600,hybrid,15,817.6
random,3600,hybrid,20,851.8
random,3600,hybrid,30,756
random,3600,hybrid,50,751
random,3700,standard,0,1955
random,3700,hybrid,5,1204.2
random,3700,hybrid,10,1004
random,3700,hybrid,15,859.6
random,3700,hybrid,20,874.4
random,3700,hybrid,30,772
random,3700,hybrid,50,772.2
random,3800,standard,0,1993.2
random,3800,hybrid,5,1231.4
random,3800,hybrid,10,1003
random,3800,hybrid,15,880.8
random,3800,hybrid,20,875.6
random,3800,hybrid,30,802.4
random,3800,hybrid,50,788.4
random,3900,standard,0,2026
random,3900,hybrid,5,1234
random,3900,hybrid,10,1034.2
random,3900,hybrid,15,940.6
random,3900,hybrid,20,907.8
random,3900,hybrid,30,867
random,3900,hybrid,50,820.2
random,4000,standard,0,2112
random,4000,hybrid,5,1291.6
random,4000,hybrid,10,1069.8
random,4000,hybrid,15,1016
random,4000,hybrid,20,913.4
random,4000,hybrid,30,921.4
random,4000,hybrid,50,840.8
random,4100,standard,0,2150.6
random,4100,hybrid,5,1307.8
random,4100,hybrid,10,1099.4
random,4100,hybrid,15,1103
random,4100,hybrid,20,932.4
random,4100,hybrid,30,930.8
random,4100,hybrid,50,859.8
random,4200,standard,0,2236
random,4200,hybrid,5,1321.6
random,4200,hybrid,10,1102.8
random,4200,hybrid,15,1106.4
random,4200,hybrid,20,966.4
random,4200,hybrid,30,966.2
random,4200,hybrid,50,899.6
random,4300,standard,0,2266.6
random,4300,hybrid,5,1374
random,4300,hybrid,10,1141.6
random,4300,hybrid,15,1126.4
random,4300,hybrid,20,989
random,4300,hybrid,30,995.2
random,4300,hybrid,50,912
random,4400,standard,0,2332.6
random,4400,hybrid,5,1411.2
random,4400,hybrid,10,1161.2
random,4400,hybrid,15,1166
random,4400,hybrid,20,997.8
random,4400,hybrid,30,1010
random,4400,hybrid,50,934.4
random,4500,standard,0,2408.4
random,4500,hybrid,5,1443.2
random,4500,hybrid,10,1192.4
random,4500,hybrid,15,1170.6
random,4500,hybrid,20,1033.6
random,4500,hybrid,30,1036.2
random,4500,hybrid,50,942
random,4600,standard,0,2507.2
random,4600,hybrid,5,1450.4
random,4600,hybrid,10,1185.2
random,4600,hybrid,15,1202.4
random,4600,hybrid,20,1078.2
random,4600,hybrid,30,1056
random,4600,hybrid,50,995
random,4700,standard,0,2533
random,4700,hybrid,5,1471.2
random,4700,hybrid,10,1283
random,4700,hybrid,15,1231
random,4700,hybrid,20,1085
random,4700,hybrid,30,1061.4
random,4700,hybrid,50,1010.4
random,4800,standard,0,2574.2
random,4800,hybrid,5,1468.4
random,4800,hybrid,10,1251.8
random,4800,hybrid,15,1261.6
random,4800,hybrid,20,1084
random,4800,hybrid,30,1096.8
random,4800,hybrid,50,1035
random,4900,standard,0,2693.4
random,4900,hybrid,5,1519.8
random,4900,hybrid,10,1266.4
random,4900,hybrid,15,1285.6
random,4900,hybrid,20,1123.6
random,4900,hybrid,30,1114.4
random,4900,hybrid,50,1062.2
random,5000,standard,0,2736.6
random,5000,hybrid,5,1556.2
random,5000,hybrid,10,1292.2
random,5000,hybrid,15,1308.2
random,5000,hybrid,20,1158.2
random,5000,hybrid,30,1163
random,5000,hybrid,50,1067.4
random,5100,standard,0,2766
random,5100,hybrid,5,1559.8
random,5100,hybrid,10,1332.6
random,5100,hybrid,15,1339.8
random,5100,hybrid,20,1162.2
random,5100,hybrid,30,1176.8
random,5100,hybrid,50,1109.8
random,5200,standard,0,2799.6
random,5200,hybrid,5,1637.6
random,5200,hybrid,10,1391.8
random,5200,hybrid,15,1349
random,5200,hybrid,20,1253.2
random,5200,hybrid,30,1193.2
random,5200,hybrid,50,1116.2
random,5300,standard,0,2850.2
random,5300,hybrid,5,1694.6
random,5300,hybrid,10,1470.8
random,5300,hybrid,15,1375
random,5300,hybrid,20,1331
random,5300,hybrid,30,1205.8
random,5300,hybrid,50,1153.4
random,5400,standard,0,2957.6
random,5400,hybrid,5,1719.6
random,5400,hybrid,10,1561.8
random,5400,hybrid,15,1396.2
random,5400,hybrid,20,1408.6
random,5400,hybrid,30,1229.2
random,5400,hybrid,50,1181.8
random,5500,standard,0,2982.6
random,5500,hybrid,5,1830.8
random,5500,hybrid,10,1609.6
random,5500,hybrid,15,1423.6
random,5500,hybrid,20,1413.6
random,5500,hybrid,30,1259
random,5500,hybrid,50,1220.2
random,5600,standard,0,3056.6
random,5600,hybrid,5,1869.8
random,5600,hybrid,10,1663.2
random,5600,hybrid,15,1420.8
random,5600,hybrid,20,1418.2
random,5600,hybrid,30,1269
random,5600,hybrid,50,1209.8
random,5700,standard,0,3052.4
random,5700,hybrid,5,1911.4
random,5700,hybrid,10,1699
random,5700,hybrid,15,1444.2
random,5700,hybrid,20,1445
random,5700,hybrid,30,1286.4
random,5700,hybrid,50,1228.2
random,5800,standard,0,3089.6
random,5800,hybrid,5,1961.6
random,5800,hybrid,10,1705.6
random,5800,hybrid,15,1483.4
random,5800,hybrid,20,1481
random,5800,hybrid,30,1313.8
random,5800,hybrid,50,1276.8
random,5900,standard,0,3135.2
random,5900,hybrid,5,2019.4
random,5900,hybrid,10,1742.8
random,5900,hybrid,15,1483.4
random,5900,hybrid,20,1481.6
random,5900,hybrid,30,1330.2
random,5900,hybrid,50,1289.6
random,6000,standard,0,3170.4
random,6000,hybrid,5,2095
random,6000,hybrid,10,1790.2
random,6000,hybrid,15,1514.8
random,6000,hybrid,20,1512
random,6000,hybrid,30,1357.4
random,6000,hybrid,50,1309.2
random,6100,standard,0,3343
random,6100,hybrid,5,2163
random,6100,hybrid,10,1790.2
random,6100,hybrid,15,1532.2
random,6100,hybrid,20,1533.6
random,6100,hybrid,30,1383.6
random,6100,hybrid,50,1341.4
random,6200,standard,0,3385.8
random,6200,hybrid,5,2205.2
random,6200,hybrid,10,1819.4
random,6200,hybrid,15,1564
random,6200,hybrid,20,1558
random,6200,hybrid,30,1408.6
random,6200,hybrid,50,1359.8
random,6300,standard,0,3467.4
random,6300,hybrid,5,2218.8
random,6300,hybrid,10,1828
random,6300,hybrid,15,1583
random,6300,hybrid,20,1576.4
random,6300,hybrid,30,1425.6
random,6300,hybrid,50,1396.4
random,6400,standard,0,3406.6
random,6400,hybrid,5,2230.8
random,6400,hybrid,10,1858.2
random,6400,hybrid,15,1614.6
random,6400,hybrid,20,1652
random,6400,hybrid,30,1522
random,6400,hybrid,50,1481.8
random,6500,standard,0,3560.6
random,6500,hybrid,5,2316.4
random,6500,hybrid,10,1915.8
random,6500,hybrid,15,1664
random,6500,hybrid,20,1626
random,6500,hybrid,30,1471.2
random,6500,hybrid,50,1494.2
random,6600,standard,0,3518.2
random,6600,hybrid,5,2306
random,6600,hybrid,10,1942.8
random,6600,hybrid,15,1659.4
random,6600,hybrid,20,1655.2
random,6600,hybrid,30,1501.6
random,6600,hybrid,50,1499.8
random,6700,standard,0,3582.8
random,6700,hybrid,5,2335.6
random,6700,hybrid,10,1955
random,6700,hybrid,15,1679.2
random,6700,hybrid,20,1668.2
random,6700,hybrid,30,1520.6
random,6700,hybrid,50,1519.2
random,6800,standard,0,3660.2
random,6800,hybrid,5,2357.4
random,6800,hybrid,10,1970.6
random,6800,hybrid,15,1694.8
random,6800,hybrid,20,1695.8
random,6800,hybrid,30,1548.6
random,6800,hybrid,50,1650.8
random,6900,standard,0,3738
random,6900,hybrid,5,2432
random,6900,hybrid,10,1991.4
random,6900,hybrid,15,1742.4
random,6900,hybrid,20,1733.4
random,6900,hybrid,30,1581.6
random,6900,hybrid,50,1568.2
random,7000,standard,0,3753.2
random,7000,hybrid,5,2422.4
random,7000,hybrid,10,2015
random,7000,hybrid,15,1744.6
random,7000,hybrid,20,1749.4
random,7000,hybrid,30,1599
random,7000,hybrid,50,1593.4
random,7100,standard,0,3817.8
random,7100,hybrid,5,2440.6
random,7100,hybrid,10,2036.4
random,7100,hybrid,15,1772.4
random,7100,hybrid,20,1765.2
random,7100,hybrid,30,1616.2
random,7100,hybrid,50,1623.2
random,7200,standard,0,3865
random,7200,hybrid,5,2480.4
random,7200,hybrid,10,2065.6
random,7200,hybrid,15,1803.6
random,7200,hybrid,20,1831.8
random,7200,hybrid,30,1652.4
random,7200,hybrid,50,1649.6
random,7300,standard,0,4058
random,7300,hybrid,5,2560.8
random,7300,hybrid,10,2106.4
random,7300,hybrid,15,1821.2
random,7300,hybrid,20,1824.4
random,7300,hybrid,30,1691
random,7300,hybrid,50,1719.4
random,7400,standard,0,4155
random,7400,hybrid,5,2593.6
random,7400,hybrid,10,2237.8
random,7400,hybrid,15,1844.6
random,7400,hybrid,20,1835.4
random,7400,hybrid,30,1701.4
random,7400,hybrid,50,1691.8
random,7500,standard,0,4051.2
random,7500,hybrid,5,2548.6
random,7500,hybrid,10,2150.6
random,7500,hybrid,15,1859.4
random,7500,hybrid,20,1861.4
random,7500,hybrid,30,1748.2
random,7500,hybrid,50,1728.2
random,7600,standard,0,4103.2
random,7600,hybrid,5,2599.2
random,7600,hybrid,10,2184.6
random,7600,hybrid,15,1888.8
random,7600,hybrid,20,1885
random,7600,hybrid,30,1742.8
random,7600,hybrid,50,1740.6
random,7700,standard,0,4148.8
random,7700,hybrid,5,2603.8
random,7700,hybrid,10,2189.6
random,7700,hybrid,15,1924.8
random,7700,hybrid,20,1908.8
random,7700,hybrid,30,1778.8
random,7700,hybrid,50,1766.6
random,7800,standard,0,4242.2
random,7800,hybrid,5,2718.6
random,7800,hybrid,10,2350.8
random,7800,hybrid,15,2094.8
random,7800,hybrid,20,1950.8
random,7800,hybrid,30,1859.6
random,7800,hybrid,50,1797.8
random,7900,standard,0,4354
random,7900,hybrid,5,2700.4
random,7900,hybrid,10,2247
random,7900,hybrid,15,2087
random,7900,hybrid,20,1962
random,7900,hybrid,30,1935.4
random,7900,hybrid,50,1827.4
random,8000,standard,0,4447
random,8000,hybrid,5,2715.4
random,8000,hybrid,10,2267.8
random,8000,hybrid,15,2166.6
random,8000,hybrid,20,1981
random,8000,hybrid,30,1979.4
random,8000,hybrid,50,1843.2
random,8100,standard,0,4362.4
random,8100,hybrid,5,2709
random,8100,hybrid,10,2285.8
random,8100,hybrid,15,2242.4
random,8100,hybrid,20,2013.6
random,8100,hybrid,30,2003.6
random,8100,hybrid,50,1865.6
random,8200,standard,0,4401.4
random,8200,hybrid,5,2746.6
random,8200,hybrid,10,2316.6
random,8200,hybrid,15,2312.2
random,8200,hybrid,20,2032.8
random,8200,hybrid,30,2031
random,8200,hybrid,50,1887.2
random,8300,standard,0,4480.4
random,8300,hybrid,5,2794
random,8300,hybrid,10,2345.2
random,8300,hybrid,15,2345.6
random,8300,hybrid,20,2055.2
random,8300,hybrid,30,2057
random,8300,hybrid,50,1906.4
random,8400,standard,0,4669.4
random,8400,hybrid,5,2851
random,8400,hybrid,10,2374.4
random,8400,hybrid,15,2382.6
random,8400,hybrid,20,2080.6
random,8400,hybrid,30,2078.2
random,8400,hybrid,50,1938.4
random,8500,standard,0,4612.8
random,8500,hybrid,5,2846
random,8500,hybrid,10,2396
random,8500,hybrid,15,2405
random,8500,hybrid,20,2102.4
random,8500,hybrid,30,2102.6
random,8500,hybrid,50,1969
random,8600,standard,0,4666.4
random,8600,hybrid,5,2874.6
random,8600,hybrid,10,2444.2
random,8600,hybrid,15,2446.8
random,8600,hybrid,20,2126.4
random,8600,hybrid,30,2125.8
random,8600,hybrid,50,1986.6
random,8700,standard,0,4720
random,8700,hybrid,5,2900.8
random,8700,hybrid,10,2438
random,8700,hybrid,15,2435.8
random,8700,hybrid,20,2150.8
random,8700,hybrid,30,2154.8
random,8700,hybrid,50,2007.2
random,8800,standard,0,4784.4
random,8800,hybrid,5,2920.6
random,8800,hybrid,10,2459.6
random,8800,hybrid,15,2461.2
random,8800,hybrid,20,2177.2
random,8800,hybrid,30,2176.4
random,8800,hybrid,50,2036.2
random,8900,standard,0,4841.6
random,8900,hybrid,5,2957
random,8900,hybrid,10,2485
random,8900,hybrid,15,2513.2
random,8900,hybrid,20,2209.2
random,8900,hybrid,30,2237.8
random,8900,hybrid,50,2119.6
random,9000,standard,0,5121.6
random,9000,hybrid,5,3018.2
random,9000,hybrid,10,2519
random,9000,hybrid,15,2521.8
random,9000,hybrid,20,2238
random,9000,hybrid,30,2228.2
random,9000,hybrid,50,2080.8
random,9100,standard,0,5031.4
random,9100,hybrid,5,3021.6
random,9100,hybrid,10,2547
random,9100,hybrid,15,2546.2
random,9100,hybrid,20,2256.6
random,9100,hybrid,30,2262.4
random,9100,hybrid,50,2123.4
random,9200,standard,0,5029.8
random,9200,hybrid,5,3025.2
random,9200,hybrid,10,2560.4
random,9200,hybrid,15,2567
random,9200,hybrid,20,2276.8
random,9200,hybrid,30,2274.4
random,9200,hybrid,50,2145.8
random,9300,standard,0,5069.2
random,9300,hybrid,5,3048.8
random,9300,hybrid,10,2589.2
random,9300,hybrid,15,2586.8
random,9300,hybrid,20,2299.8
random,9300,hybrid,30,2302.6
random,9300,hybrid,50,2164.2
random,9400,standard,0,5130.4
random,9400,hybrid,5,3084.8
random,9400,hybrid,10,2616.6
random,9400,hybrid,15,2636.4
random,9400,hybrid,20,2333.6
random,9400,hybrid,30,2330.6
random,9400,hybrid,50,2190
random,9500,standard,0,5197
